invocation,candidate,exit,duration_us
188,2,w0,8925
188,3,z,7449
188,4,z,7486
188,5,w0,8922
188,6,z,7450
188,7,w0,8911
188,8,w0,8920
188,9,z,7463
188,10,accept,10540
189,1,z,7507
189,2,w0,8930
189,3,accept,10540
190,1,w0,8982
190,2,accept,10540
191,1,accept,10615
192,1,z,7511
192,2,z,7455
192,3,accept,10548
193,1,accept,10607
194,1,w0,8976
194,2,accept,10541
195,1,z,7515
195,2,z,7462
195,3,z,7459
195,4,z,7463
195,5,w0,8946
195,6,z,7474
195,7,z,7486
195,8,w0,8916
195,9,accept,10541
196,1,z,7523
196,2,z,7450
196,3,z,7463
196,4,accept,10548
197,1,w0,9002
197,2,w0,8924
197,3,z,7457
197,4,z,7483
197,5,w0,8906
197,6,z,7464
197,7,z,7483
197,8,accept,10540
198,1,z,7527
198,2,w0,8935
198,3,w0,8904
198,4,z,7478
198,5,accept,10540
199,1,z,7511
199,2,accept,10548
200,1,w0,8985
200,2,z,7454
200,3,z,7477
200,4,z,7465
200,5,accept,10541
201,1,accept,10603
202,1,w0,9001
202,2,w0,8933
202,3,w0,8918
202,4,w0,8920
202,5,accept,10540
203,1,z,7506
203,2,accept,10548
204,1,z,7515
204,2,z,7457
204,3,accept,10548
205,1,z,7535
205,2,z,7453
205,3,z,7481
205,4,accept,10548
206,1,z,7504
206,2,accept,10547
207,1,w0,8973
207,2,accept,10540
208,1,z,7528
208,2,z,7463
208,3,w0,8940
208,4,z,7447
208,5,z,7472
208,6,accept,10540
209,1,w0,8983
209,2,w0,8924
209,3,z,7452
209,4,w0,8936
209,5,z,7454
209,6,z,7474
209,7,z,7460
209,8,accept,10540
210,1,w0,8988
210,2,z,7471
210,3,w0,8938
210,4,accept,10541
211,1,z,7509
211,2,z,7454
211,3,z,7458
211,4,accept,10548
212,1,z,7514
212,2,w0,8940
212,3,z,7471
212,4,z,7453
212,5,w0,8918
212,6,z,7476
212,7,w0,8916
212,8,z,7454
212,9,w0,8914
212,10,z,7472
212,11,z,7461
212,12,z,7474
212,13,z,7479
212,14,z,7453
212,15,z,7466
212,16,accept,10540
213,1,z,7505
213,2,z,7459
213,3,z,7467
213,4,accept,10548
214,1,accept,10603
215,1,z,7523
215,2,w0,8931
215,3,z,7464
215,4,z,7455
215,5,z,7485
215,6,z,7452
215,7,w0,8903
215,8,w0,8931
215,9,w0,8912
215,10,z,7479
215,11,accept,10540
216,1,accept,10615
217,1,z,7541
217,2,z,7451
217,3,accept,10552
218,1,w0,8992
218,2,z,7462
218,3,w0,8907
218,4,z,7476
218,5,z,7459
218,6,z,7461
218,7,z,7480
218,8,z,7464
218,9,accept,10540
