replicate,mode,period_ms,acq_index,start_off_us,duration_us,skipped
1,inline,100,2082,-1,0,1
1,inline,100,2083,-1,0,1
1,inline,100,2085,-1,0,1
1,inline,100,2086,-1,0,1
1,inline,100,2087,-1,0,1
1,inline,100,2088,-1,0,1
1,inline,100,2089,-1,0,1
1,inline,100,2090,-1,0,1
1,inline,100,2092,-1,0,1
1,inline,100,2093,-1,0,1
1,inline,100,2094,-1,0,1
1,inline,100,2095,-1,0,1
1,inline,100,2096,-1,0,1
1,inline,100,2097,-1,0,1
1,inline,100,2101,-1,0,1
1,inline,100,2111,-1,0,1
1,inline,100,2112,-1,0,1
1,inline,100,2121,-1,0,1
1,inline,100,2122,-1,0,1
1,inline,100,2131,-1,0,1
1,inline,100,2141,-1,0,1
1,inline,100,2151,-1,0,1
1,inline,100,2152,-1,0,1
1,inline,100,2153,-1,0,1
1,inline,100,2154,-1,0,1
1,inline,100,2155,-1,0,1
1,inline,100,2161,-1,0,1
1,inline,100,2162,-1,0,1
1,inline,100,2163,-1,0,1
1,inline,100,2164,-1,0,1
1,inline,100,2165,-1,0,1
1,inline,100,2166,-1,0,1
1,inline,100,2167,-1,0,1
1,inline,100,2168,-1,0,1
1,inline,100,2169,-1,0,1
1,inline,100,2170,-1,0,1
1,inline,100,2171,-1,0,1
1,inline,100,2172,-1,0,1
1,inline,100,2174,-1,0,1
1,inline,100,2175,-1,0,1
1,inline,100,2181,-1,0,1
1,inline,100,2182,-1,0,1
1,inline,100,2191,-1,0,1
1,inline,100,2192,-1,0,1
1,inline,100,2201,-1,0,1
1,inline,100,2202,-1,0,1
1,inline,100,2203,-1,0,1
1,inline,100,2211,-1,0,1
1,inline,100,2212,-1,0,1
1,inline,100,2213,-1,0,1
1,inline,100,2214,-1,0,1
1,inline,100,2221,-1,0,1
1,inline,100,2222,-1,0,1
1,inline,100,2223,-1,0,1
1,inline,100,2231,-1,0,1
1,inline,100,2232,-1,0,1
1,inline,100,2233,-1,0,1
1,inline,100,2234,-1,0,1
1,inline,100,2235,-1,0,1
1,inline,100,2236,-1,0,1
1,inline,100,2237,-1,0,1
1,inline,100,2238,-1,0,1
1,inline,100,2241,-1,0,1
1,inline,100,2251,-1,0,1
1,inline,100,2261,-1,0,1
1,inline,100,2262,-1,0,1
1,inline,100,2271,-1,0,1
1,inline,100,2272,-1,0,1
1,inline,100,2273,-1,0,1
1,inline,100,2274,-1,0,1
1,inline,100,2275,-1,0,1
1,inline,100,2276,-1,0,1
1,inline,100,2277,-1,0,1
1,inline,100,2278,-1,0,1
1,inline,100,2281,-1,0,1
1,inline,100,2282,-1,0,1
1,inline,100,2291,-1,0,1
1,inline,100,2292,-1,0,1
1,inline,100,2293,-1,0,1
1,inline,100,2294,-1,0,1
1,inline,100,2295,-1,0,1
1,inline,100,2296,-1,0,1
1,inline,100,2301,-1,0,1
1,inline,100,2302,-1,0,1
1,inline,100,2311,-1,0,1
1,inline,100,2312,-1,0,1
1,inline,100,2313,-1,0,1
1,inline,100,2314,-1,0,1
1,inline,100,2315,-1,0,1
1,inline,100,2316,-1,0,1
1,inline,100,2317,-1,0,1
1,inline,100,2321,-1,0,1
1,inline,100,2322,-1,0,1
1,inline,100,2323,-1,0,1
1,inline,100,2324,-1,0,1
1,inline,100,2331,-1,0,1
1,inline,100,2332,-1,0,1
1,inline,100,2341,-1,0,1
1,inline,100,2351,-1,0,1
1,inline,100,2361,-1,0,1
