board,run,mode,period_ms,replicate,bin,count
rp2040_1,run_03,worker,100,1,73,0
rp2040_1,run_03,worker,100,1,74,0
rp2040_1,run_03,worker,100,1,75,0
rp2040_1,run_03,worker,100,1,76,0
rp2040_1,run_03,worker,100,1,77,0
rp2040_1,run_03,worker,100,1,78,0
rp2040_1,run_03,worker,100,1,79,0
rp2040_1,run_03,worker,100,1,80,0
rp2040_1,run_03,worker,100,1,81,0
rp2040_1,run_03,worker,100,1,82,0
rp2040_1,run_03,worker,100,1,83,0
rp2040_1,run_03,worker,100,1,84,0
rp2040_1,run_03,worker,100,1,85,0
rp2040_1,run_03,worker,100,1,86,0
rp2040_1,run_03,worker,100,1,87,0
rp2040_1,run_03,worker,100,1,88,0
rp2040_1,run_03,worker,100,1,89,0
rp2040_1,run_03,worker,100,1,90,0
rp2040_1,run_03,worker,100,1,91,0
rp2040_1,run_03,worker,100,1,92,0
rp2040_1,run_03,worker,100,1,93,0
rp2040_1,run_03,worker,100,1,94,0
rp2040_1,run_03,worker,100,1,95,0
rp2040_1,run_03,worker,100,1,96,0
rp2040_1,run_03,worker,100,1,97,0
rp2040_1,run_03,worker,100,1,98,0
rp2040_1,run_03,worker,100,1,99,0
rp2040_1,run_03,worker,100,1,100,0
rp2040_1,run_03,worker,100,1,101,0
rp2040_1,run_04,worker,1000,1,0,0
rp2040_1,run_04,worker,1000,1,1,58941
rp2040_1,run_04,worker,1000,1,2,58
rp2040_1,run_04,worker,1000,1,3,300
rp2040_1,run_04,worker,1000,1,4,68
rp2040_1,run_04,worker,1000,1,5,12
rp2040_1,run_04,worker,1000,1,6,607
rp2040_1,run_04,worker,1000,1,7,3
rp2040_1,run_04,worker,1000,1,8,4
rp2040_1,run_04,worker,1000,1,9,2
rp2040_1,run_04,worker,1000,1,10,0
rp2040_1,run_04,worker,1000,1,11,2
rp2040_1,run_04,worker,1000,1,12,2
rp2040_1,run_04,worker,1000,1,13,0
rp2040_1,run_04,worker,1000,1,14,0
rp2040_1,run_04,worker,1000,1,15,0
rp2040_1,run_04,worker,1000,1,16,0
rp2040_1,run_04,worker,1000,1,17,1
rp2040_1,run_04,worker,1000,1,18,0
rp2040_1,run_04,worker,1000,1,19,0
rp2040_1,run_04,worker,1000,1,20,0
rp2040_1,run_04,worker,1000,1,21,0
rp2040_1,run_04,worker,1000,1,22,0
rp2040_1,run_04,worker,1000,1,23,0
rp2040_1,run_04,worker,1000,1,24,0
rp2040_1,run_04,worker,1000,1,25,0
rp2040_1,run_04,worker,1000,1,26,0
rp2040_1,run_04,worker,1000,1,27,0
rp2040_1,run_04,worker,1000,1,28,0
rp2040_1,run_04,worker,1000,1,29,0
rp2040_1,run_04,worker,1000,1,30,0
rp2040_1,run_04,worker,1000,1,31,0
rp2040_1,run_04,worker,1000,1,32,0
rp2040_1,run_04,worker,1000,1,33,0
rp2040_1,run_04,worker,1000,1,34,0
rp2040_1,run_04,worker,1000,1,35,0
rp2040_1,run_04,worker,1000,1,36,0
rp2040_1,run_04,worker,1000,1,37,0
rp2040_1,run_04,worker,1000,1,38,0
rp2040_1,run_04,worker,1000,1,39,0
rp2040_1,run_04,worker,1000,1,40,0
rp2040_1,run_04,worker,1000,1,41,0
rp2040_1,run_04,worker,1000,1,42,0
rp2040_1,run_04,worker,1000,1,43,0
rp2040_1,run_04,worker,1000,1,44,0
rp2040_1,run_04,worker,1000,1,45,0
rp2040_1,run_04,worker,1000,1,46,0
rp2040_1,run_04,worker,1000,1,47,0
rp2040_1,run_04,worker,1000,1,48,0
rp2040_1,run_04,worker,1000,1,49,0
rp2040_1,run_04,worker,1000,1,50,0
rp2040_1,run_04,worker,1000,1,51,0
rp2040_1,run_04,worker,1000,1,52,0
rp2040_1,run_04,worker,1000,1,53,0
rp2040_1,run_04,worker,1000,1,54,0
rp2040_1,run_04,worker,1000,1,55,0
rp2040_1,run_04,worker,1000,1,56,0
rp2040_1,run_04,worker,1000,1,57,0
rp2040_1,run_04,worker,1000,1,58,0
rp2040_1,run_04,worker,1000,1,59,0
rp2040_1,run_04,worker,1000,1,60,0
rp2040_1,run_04,worker,1000,1,61,0
rp2040_1,run_04,worker,1000,1,62,0
rp2040_1,run_04,worker,1000,1,63,0
rp2040_1,run_04,worker,1000,1,64,0
rp2040_1,run_04,worker,1000,1,65,0
rp2040_1,run_04,worker,1000,1,66,0
rp2040_1,run_04,worker,1000,1,67,0
rp2040_1,run_04,worker,1000,1,68,0
rp2040_1,run_04,worker,1000,1,69,0
rp2040_1,run_04,worker,1000,1,70,0
rp2040_1,run_04,worker,1000,1,71,0
rp2040_1,run_04,worker,1000,1,72,0
rp2040_1,run_04,worker,1000,1,73,0
rp2040_1,run_04,worker,1000,1,74,0
rp2040_1,run_04,worker,1000,1,75,0
rp2040_1,run_04,worker,1000,1,76,0
rp2040_1,run_04,worker,1000,1,77,0
rp2040_1,run_04,worker,1000,1,78,0
rp2040_1,run_04,worker,1000,1,79,0
rp2040_1,run_04,worker,1000,1,80,0
rp2040_1,run_04,worker,1000,1,81,0
rp2040_1,run_04,worker,1000,1,82,0
rp2040_1,run_04,worker,1000,1,83,0
rp2040_1,run_04,worker,1000,1,84,0
rp2040_1,run_04,worker,1000,1,85,0
rp2040_1,run_04,worker,1000,1,86,0
rp2040_1,run_04,worker,1000,1,87,0
rp2040_1,run_04,worker,1000,1,88,0
rp2040_1,run_04,worker,1000,1,89,0
rp2040_1,run_04,worker,1000,1,90,0
rp2040_1,run_04,worker,1000,1,91,0
rp2040_1,run_04,worker,1000,1,92,0
rp2040_1,run_04,worker,1000,1,93,0
rp2040_1,run_04,worker,1000,1,94,0
rp2040_1,run_04,worker,1000,1,95,0
rp2040_1,run_04,worker,1000,1,96,0
rp2040_1,run_04,worker,1000,1,97,0
rp2040_1,run_04,worker,1000,1,98,0
rp2040_1,run_04,worker,1000,1,99,0
rp2040_1,run_04,worker,1000,1,100,0
rp2040_1,run_04,worker,1000,1,101,0
rp2040_1,run_05,inline,1000,1,0,0
rp2040_1,run_05,inline,1000,1,1,49292
rp2040_1,run_05,inline,1000,1,2,3
rp2040_1,run_05,inline,1000,1,3,8
rp2040_1,run_05,inline,1000,1,4,10
rp2040_1,run_05,inline,1000,1,5,7
rp2040_1,run_05,inline,1000,1,6,2
rp2040_1,run_05,inline,1000,1,7,2
rp2040_1,run_05,inline,1000,1,8,1
rp2040_1,run_05,inline,1000,1,9,2
rp2040_1,run_05,inline,1000,1,10,1
rp2040_1,run_05,inline,1000,1,11,5
rp2040_1,run_05,inline,1000,1,12,3
rp2040_1,run_05,inline,1000,1,13,0
rp2040_1,run_05,inline,1000,1,14,0
rp2040_1,run_05,inline,1000,1,15,2
rp2040_1,run_05,inline,1000,1,16,2
rp2040_1,run_05,inline,1000,1,17,4
rp2040_1,run_05,inline,1000,1,18,4
rp2040_1,run_05,inline,1000,1,19,2
rp2040_1,run_05,inline,1000,1,20,2
rp2040_1,run_05,inline,1000,1,21,20
rp2040_1,run_05,inline,1000,1,22,65
rp2040_1,run_05,inline,1000,1,23,49
rp2040_1,run_05,inline,1000,1,24,7
rp2040_1,run_05,inline,1000,1,25,2
rp2040_1,run_05,inline,1000,1,26,1
rp2040_1,run_05,inline,1000,1,27,0
rp2040_1,run_05,inline,1000,1,28,8
rp2040_1,run_05,inline,1000,1,29,14
rp2040_1,run_05,inline,1000,1,30,13
